,address,listingby,price,beds,baths,sqft,building_type,price/sqft
201,"10 Brighton Ave, San Francisco, CA 94112",NaN,"$5,500/mo",5 bds,4 ba,"1,750 sqft",- House for rent,NaN
202,"1568 Lombard St #3457720, San Francisco, CA 94123",NaN,"$2,395+/mo",1 bd,1 ba,650 sqft,- Apartment for rent,NaN
203,"Mt. Sutro | 480 Warren Dr, San Francisco, CA",NaN,"$2,395+ 1 bd",NaN,NaN,NaN,NaN,NaN
204,"1650 California Street | 1650 California St, San Francisco, CA",NaN,"$1,695+ Studio","$2,495+ 1 bd",NaN,NaN,NaN,NaN
205,"Filbert Street | 1472 Filbert St, San Francisco, CA",NaN,"$2,095 Studio","$2,695 1 bd","$4,495 2 bds","$4,695 3 bds",NaN,NaN
206,"627 Corbett Ave APT 5, San Francisco, CA 94114",NaN,"$2,200/mo",Studio,1 ba,200 sqft,- Apartment for rent,NaN
207,"36 Miley St, San Francisco, CA 94123",NaN,"$3,950/mo",2 bds,1 ba,-- sqft,- Apartment for rent,NaN
208,"3877 Cesar Chavez St #C, San Francisco, CA 94131",NaN,"$3,295/mo",1 bd,1 ba,857 sqft,- Apartment for rent,NaN
209,"2824-2828 Geary Blvd #2824-002, San Francisco, CA 94118",NaN,"$3,595/mo",3 bds,2 ba,921 sqft,- Apartment for rent,NaN
210,"781 O'Farrell | 781 Ofarrell St, San Francisco, CA",NaN,"$2,195+ 1 bd",NaN,NaN,NaN,NaN,NaN
211,"2385-2389 Folsom St #201, San Francisco, CA 94110",NaN,"$1,895/mo",Studio,1 ba,297 sqft,- Apartment for rent,NaN
212,"530 Linden St, San Francisco, CA 94102",NaN,"$4,990/mo",3 bds,1 ba,"1,000 sqft",- Apartment for rent,NaN
213,"840 Van Ness | 840 Van Ness Ave, San Francisco, CA",NaN,"$1,595+ Studio","$2,295 1 bd","$2,795 2 bds",NaN,NaN,NaN
214,"1030-1042 Polk | 1030-1042 Polk St, San Francisco, CA",NaN,"$2,295+ 1 bd",NaN,NaN,NaN,NaN,NaN
215,"1445 Mason St #14, San Francisco, CA 94133",NaN,"$2,395/mo",1 bd,1 ba,650 sqft,- Apartment for rent,NaN
216,"925 Pierce St #3, San Francisco, CA 94115",NaN,"$2,445/mo",1 bd,1 ba,533 sqft,- Apartment for rent,NaN
217,"925 Geary | 925 Geary St, San Francisco, CA",NaN,"$1,495+ Studio","$2,295+ 1 bd",NaN,NaN,NaN,NaN
218,"1720 Leavenworth St #829YGY7CA, San Francisco, CA 94109",NaN,"$2,295+/mo",1 bd,1 ba,363 sqft,- Apartment for rent,NaN
219,"676 Geary | 676 Geary St, San Francisco, CA",NaN,"$1,495+ Studio","$2,295 1 bd","$2,695+ 2 bds",NaN,NaN,NaN
220,"798 Post | 798 Post St, San Francisco, CA",NaN,"$1,350+ Studio","$2,295+ 1 bd",NaN,NaN,NaN,NaN
221,"520 Buchanan | 520 Buchanan St, San Francisco, CA",NaN,"$2,795+ 1 bd","$3,295 2 bds",NaN,NaN,NaN,NaN
222,"630 Alvarado | 630 Alvarado St, San Francisco, CA",NaN,"$2,795+ 1 bd",NaN,NaN,NaN,NaN,NaN
223,"901 Bush St APT 305, San Francisco, CA 94109",NaN,"$2,800/mo",1 bd,1 ba,552 sqft,- Apartment for rent,NaN
224,"Towers at Rincon | 88 Howard St, San Francisco, CA",NaN,"$3,015+ Studio","$3,830 1 bd","$4,705+ 2 bds",NaN,NaN,NaN
225,"280 San Leandro Way, San Francisco, CA 94127",NaN,"$5,350/mo",3 bds,2 ba,"1,524 sqft",- House for rent,NaN
226,"395 Stonecrest Dr, San Francisco, CA 94132",NaN,"$5,500/mo",3 bds,2 ba,"1,595 sqft",- House for rent,NaN
227,"2012 Baker St #1, San Francisco, CA 94115",NaN,"$1,900/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
228,"1509 25th Ave, San Francisco, CA",NaN,"$1,500+ 1 bd",NaN,NaN,NaN,NaN,NaN
229,"750 O'Farrell St | 750 Ofarrell St, San Francisco, CA",NaN,"$1,595+ Studio","$1,945+ 1 bd",NaN,NaN,NaN,NaN
230,"3783 20th Street | 3783 20th St, San Francisco, CA",NaN,"$2,995 1 bd","$3,795 2 bds",NaN,NaN,NaN,NaN
231,"510 Stockton | 510 Stockton St, San Francisco, CA",NaN,"$2,795+ 1 bd","$3,695+ 2 bds",NaN,NaN,NaN,NaN
232,"3014 Clay St APT 2C, San Francisco, CA 94115",NaN,"$3,995/mo",2 bds,1 ba,924 sqft,- Apartment for rent,NaN
233,"48-50 Golden Gate Ave. | 48-50 Golden Gate, San Francisco, CA",NaN,"$1,625+ Studio",NaN,NaN,NaN,NaN,NaN
234,"1800 Turk St APT 301, San Francisco, CA 94115",NaN,"$4,850/mo",2 bds,2 ba,"1,215 sqft",- Apartment for rent,NaN
235,"1560 Sacramento | 1560 Sacramento St, San Francisco, CA",NaN,"$2,295+ 1 bd","$2,995+ 2 bds",NaN,NaN,NaN,NaN
236,"2065 Fulton St, San Francisco, CA 94117",NaN,"$4,500/mo",3 bds,1 ba,"1,447 sqft",- Apartment for rent,NaN
237,"500 Stanyan | 500 Stanyan St, San Francisco, CA",NaN,"$3,695+ 2 bds",NaN,NaN,NaN,NaN,NaN
238,"1384 Mcallister St #TOP, San Francisco, CA 94115",NaN,"$3,299/mo",1 bd,1 ba,700 sqft,- Apartment for rent,NaN
239,"2335 Pacific Ave #AE72UE0P8, San Francisco, CA 94115",NaN,"$4,495+/mo",3 bds,2 ba,"1,700 sqft",- Apartment for rent,NaN
240,"500 Hudson Ave, San Francisco, CA 94124",NaN,"$5,500/mo",3 bds,2.5 ba,"1,510 sqft",- Townhouse for rent,NaN
241,"1177 Market at Trinity Place | 1177 Market St, San Francisco, CA",NaN,"$2,330+ 1 bd","$2,760+ 2 bds",NaN,NaN,NaN,NaN
242,"954 Geary St | 954 Geary St, San Francisco, CA",NaN,"$1,550+ Studio",NaN,NaN,NaN,NaN,NaN
243,"Potrero Launch | 2235 3rd St, San Francisco, CA",NaN,"$2,769+ 1 bd","$3,506+ 2 bds",NaN,NaN,NaN,NaN
244,"469 Clementina St APT 16, San Francisco, CA 94103",NaN,"$2,795/mo",1 bd,1 ba,650 sqft,- Apartment for rent,NaN
245,"1690 N Point St #202, San Francisco, CA 94123",NaN,"$4,695/mo",2 bds,1 ba,859 sqft,- Apartment for rent,NaN
246,"1668 Washington St APT 6, San Francisco, CA 94109",NaN,"$3,795/mo",2 bds,1 ba,634 sqft,- Apartment for rent,NaN
247,"338 Main St, San Francisco, CA",NaN,"$3,500+ 1 bd","$5,188+ 2 bds","$29,000 3 bds",NaN,NaN,NaN
248,"980 Bush St | 980 Bush St, San Francisco, CA",NaN,"$1,595+ Studio","$2,395+ 1 bd",NaN,NaN,NaN,NaN
249,"818 Van Ness Ave, San Francisco, CA",NaN,"$2,900 1 bd","$4,200 2 bds",NaN,NaN,NaN,NaN
250,"460 S Van Ness Ave APT 6, San Francisco, CA 94103",NaN,"$1,600/mo",Studio,1 ba,-- sqft,- Apartment for rent,NaN
251,"304 Walnut St #6, San Francisco, CA 94118",NaN,"$3,950/mo",3 bds,2 ba,-- sqft,- Apartment for rent,NaN
252,"SoMa Square | 1 Saint Francis Pl, San Francisco, CA",NaN,"$2,672+ Studio","$2,676+ 1 bd","$3,804+ 2 bds",NaN,NaN,NaN
253,"3035 Baker St #201, San Francisco, CA 94123",NaN,"$4,695/mo",2 bds,1 ba,830 sqft,- Apartment for rent,NaN
254,"340 Fremont | 340 Fremont St, San Francisco, CA",NaN,"$2,844+ Studio","$4,008+ 1 bd","$4,735+ 2 bds",NaN,NaN,NaN
255,"512 Arballo Dr, San Francisco, CA 94132",NaN,"$6,889/mo",3 bds,3 ba,"1,401 sqft",- Apartment for rent,NaN
256,"1755 Van Ness Ave | 1755 Van Ness Ave, San Francisco, CA",NaN,"$1,800+ Studio","$2,550+ 1 bd","$3,500+ 2 bds",NaN,NaN,NaN
257,"AVA 55 Ninth | 55 9th St, San Francisco, CA",NaN,"$2,285+ Studio","$2,575+ 1 bd","$3,420+ 2 bds",NaN,NaN,NaN
258,"355 Laguna St #8A8WGZVGW, San Francisco, CA 94102",NaN,"$4,195+/mo",2 bds,2 ba,736 sqft,- Apartment for rent,NaN
259,"Venue | 1155 4th St, San Francisco, CA",NaN,"$3,033+ Studio","$3,165+ 1 bd","$3,990 2 bds",NaN,NaN,NaN
260,"1624 Sacramento St #14, San Francisco, CA 94109",NaN,"$4,595/mo",3 bds,2 ba,977 sqft,- Apartment for rent,NaN
261,"643 Divisadero St #3281027, San Francisco, CA 94117",NaN,"$3,395+/mo",2 bds,1 ba,"1,044 sqft",- Apartment for rent,NaN
262,"1433 Bush St #604, San Francisco, CA 94109",NaN,"$2,950/mo",1 bd,1 ba,611 sqft,- Apartment for rent,NaN
263,"1751 Market St. | 1751 Market St, San Francisco, CA",NaN,"$2,695 1 bd","$2,995+ 2 bds",NaN,NaN,NaN,NaN
264,"3 bed, 1307 sqft, $4,895 | 246 Cole St, San Francisco, CA",NaN,"$4,895+ 3 bds",NaN,NaN,NaN,NaN,NaN
265,"550 Lake St APT 304, San Francisco, CA 94118",NaN,"$3,600/mo",2 bds,1 ba,"1,000 sqft",- Apartment for rent,NaN
266,"Franklin Street Apartments | 1800 Franklin St, San Francisco, CA",NaN,"$4,695+ 3 bds",NaN,NaN,NaN,NaN,NaN
267,"12 Oakwood St #2, San Francisco, CA 94110",NaN,"$3,200/mo",2 bds,1 ba,"1,000 sqft",- Townhouse for rent,NaN
268,"175 21st Ave #NSWGXAWPY, San Francisco, CA 94121",NaN,"$4,295+/mo",2 bds,2 ba,"1,169 sqft",- Apartment for rent,NaN
269,"984 Corbett Ave, San Francisco, CA 94131",NaN,"$6,500/mo",3 bds,2 ba,"1,177 sqft",- House for rent,NaN
270,"651 Fillmore St, San Francisco, CA 94117",NaN,"$4,850/mo",3 bds,1.5 ba,"1,495 sqft",- Apartment for rent,NaN
271,"1450 Castro St, San Francisco, CA",NaN,"$1,750+ Studio","$2,200+ 1 bd","$2,800 2 bds",NaN,NaN,NaN
272,"2728 22nd St, San Francisco, CA 94110",NaN,"$4,350/mo",3 bds,2 ba,"1,240 sqft",- Apartment for rent,NaN
273,"201 Pope St, San Francisco, CA 94112",NaN,"$2,000/mo",1 bd,1 ba,500 sqft,- Apartment for rent,NaN
274,"100 Van Ness | 100 Van Ness Ave, San Francisco, CA",NaN,"$3,700+ Studio","$2,970+ 1 bd","$5,200+ 2 bds",NaN,NaN,NaN
275,"Waterbend Apartments | 5880 3rd St, San Francisco, CA",NaN,"$2,645+ 1 bd","$2,825+ 2 bds",NaN,NaN,NaN,NaN
276,"2363 Van Ness | 2363 Van Ness Ave, San Francisco, CA",NaN,"$2,895 1 bd","$3,595 2 bds",NaN,NaN,NaN,NaN
277,"1585 Waller St APT 1, San Francisco, CA 94117",NaN,"$2,595/mo",1 bd,1 ba,523 sqft,- Apartment for rent,NaN
278,"1819 Golden Gate Ave #17, San Francisco, CA 94115",NaN,"$2,595/mo",1 bd,1 ba,529 sqft,- Apartment for rent,NaN
279,"The Tenderloin | 229 Ellis St, San Francisco, CA",NaN,"$2,525+ 1 bd","$5,975+ 2 bds",NaN,NaN,NaN,NaN
280,"1700 Bush | 1700 Bush St, San Francisco, CA",NaN,"$2,495+ 1 bd",NaN,NaN,NaN,NaN,NaN
281,"Washington Tower | 2190 Washington St, San Francisco, CA",NaN,"$6,400+ 2 bds",NaN,NaN,NaN,NaN,NaN
282,"1146 Taylor | 1146 Taylor St, San Francisco, CA",NaN,"$2,295+ Studio","$2,395+ 1 bd",NaN,NaN,NaN,NaN
283,"470 14th Street | 470 14th St, San Francisco, CA",NaN,"$2,895+ 1 bd",NaN,NaN,NaN,NaN,NaN
284,"1474 Sacramento | 1474 Sacramento St, San Francisco, CA",NaN,"$1,950 Studio","$2,450+ 1 bd","$3,695+ 2 bds",NaN,NaN,NaN
285,"1126 Bush | 1126 Bush St, San Francisco, CA",NaN,"$1,695+ Studio","$2,495+ 1 bd","$2,795+ 2 bds",NaN,NaN,NaN
286,"596 Page Street | 596 Page St, San Francisco, CA",NaN,"$1,995+ Studio",NaN,NaN,NaN,NaN,NaN
287,"1656 Leavenworth | 1656 Leavenworth St, San Francisco, CA",NaN,"$2,495+ 1 bd",NaN,NaN,NaN,NaN,NaN
288,"2339 Market | 2339 Market St, San Francisco, CA",NaN,"$2,995+ 1 bd",NaN,NaN,NaN,NaN,NaN
289,"1060 Pine | 1060 Pine St, San Francisco, CA",NaN,"$2,395+ 1 bd",NaN,NaN,NaN,NaN,NaN
290,"NorthPoint Vistas | 2351 Powell St, San Francisco, CA",NaN,"$2,800+ Studio","$3,000+ 1 bd","$5,000+ 2 bds",NaN,NaN,NaN
291,"1599 Green St #4Z5GXDNPN, San Francisco, CA 94123",NaN,"$3,495+/mo",1 bd,1 ba,726 sqft,- Apartment for rent,NaN
292,"1750 Franklin St #9, San Francisco, CA 94109",NaN,"$1,950/mo",Studio,1 ba,489 sqft,- Apartment for rent,NaN
293,"1750 Golden Gate | 1750 Golden Gate Ave, San Francisco, CA",NaN,"$3,495 1 bd","$3,695+ 2 bds",NaN,NaN,NaN,NaN
294,"1795 Ofarrell St #PB1BJZZSW, San Francisco, CA 94115",NaN,"$3,495+/mo",1 bd,1 ba,650 sqft,- Apartment for rent,NaN
295,"20 Romolo Pl APT A, San Francisco, CA 94133",NaN,"$3,995/mo",2 bds,2 ba,979 sqft,- Apartment for rent,NaN
296,"One Pine Street | 1 Pine St, San Francisco, CA",NaN,"$2,737+ 1 bd","$4,275+ 2 bds",NaN,NaN,NaN,NaN
297,"1240 Bush St #12, San Francisco, CA 94109",NaN,"$2,395/mo",1 bd,1 ba,519 sqft,- Apartment for rent,NaN
298,"Crestview Apartments | 1980 Washington St, San Francisco, CA",NaN,"$4,150+ 1 bd",NaN,NaN,NaN,NaN,NaN
299,"100 Lake St #CYBMFRN6K, San Francisco, CA 94118",NaN,"$4,095+/mo",1 bd,1 ba,856 sqft,- Apartment for rent,NaN
300,"1440 Sutter St #304, San Francisco, CA 94109",NaN,"$2,695/mo",1 bd,1 ba,554 sqft,- Apartment for rent,NaN
301,"916 Pacific Ave #19, San Francisco, CA 94133",NaN,"$2,745/mo",1 bd,1 ba,523 sqft,- Apartment for rent,NaN
302,"11 Dolores St #4, San Francisco, CA 94103",NaN,"$3,195/mo",1 bd,1 ba,662 sqft,- Apartment for rent,NaN
303,"355 Fulton | 355 Fulton St, San Francisco, CA",NaN,"$2,295+ Studio","$2,695+ 1 bd",NaN,NaN,NaN,NaN
304,"737 Pine | 737 Pine St, San Francisco, CA",NaN,"$2,795+ 1 bd",NaN,NaN,NaN,NaN,NaN
305,"Geary Courtyard | 639 Geary St, San Francisco, CA",NaN,"$1,673+ Studio","$2,140+ 1 bd",NaN,NaN,NaN,NaN
306,"1265 Washington St #7, San Francisco, CA 94108",NaN,"$2,695/mo",1 bd,1 ba,753 sqft,- Apartment for rent,NaN
307,"40 Tiffany Ave APT 7, San Francisco, CA 94110",NaN,"$2,595/mo",1 bd,1 ba,549 sqft,- Apartment for rent,NaN
308,"4475 23rd Street | 4475 23rd St, San Francisco, CA",NaN,"$2,895+ 1 bd",NaN,NaN,NaN,NaN,NaN
309,"Strata at Mission Bay | 1201 4th St, San Francisco, CA",NaN,"$3,227+ 1 bd","$4,493 2 bds",NaN,NaN,NaN,NaN
310,"755 O'Farrell | 755 Ofarrell St, San Francisco, CA",NaN,"$1,695+ Studio","$1,995+ 1 bd",NaN,NaN,NaN,NaN
311,"1201 Pine | 1201 Pine St, San Francisco, CA",NaN,"$1,695+ Studio","$2,395+ 1 bd",NaN,NaN,NaN,NaN
312,"1547 Clay | 1547 Clay St, San Francisco, CA",NaN,"$1,695+ Studio","$2,395+ 1 bd",NaN,NaN,NaN,NaN
313,"2440 Van Ness Ave #F08Z3F5EN, San Francisco, CA 94109",NaN,"$1,750+/mo",Studio,1 ba,-- sqft,- Apartment for rent,NaN
314,"600 Oak | 600 Oak St, San Francisco, CA",NaN,"$2,795+ 1 bd",NaN,NaN,NaN,NaN,NaN
315,"Soma at 788 | 788 Harrison St, San Francisco, CA",NaN,"$2,901 Studio","$3,266+ 1 bd","$4,147 2 bds",NaN,NaN,NaN
316,"295 Castro | 295-299 Castro St, San Francisco, CA",NaN,"$3,895 1 bd","$4,195 2 bds","$5,995 3 bds",NaN,NaN,NaN
317,"The Terraces | 1330 Bush St, San Francisco, CA",NaN,"$1,549+ Studio","$2,450+ 1 bd",NaN,NaN,NaN,NaN
318,"500-506 Bartlett St #502, San Francisco, CA 94110",NaN,"$5,900/mo",3 bds,2 ba,"1,067 sqft",- Apartment for rent,NaN
319,"Arc Light | 21 Clarence Pl, San Francisco, CA",NaN,"$2,944+ 1 bd","$4,649+ 2 bds",NaN,NaN,NaN,NaN
320,"1840 Clay St #104, San Francisco, CA 94109",NaN,"$2,795/mo",1 bd,1 ba,503 sqft,- Apartment for rent,NaN
321,"2112 Market Street | 2112 Market St, San Francisco, CA",NaN,"$3,360+ 1 bd","$4,900+ 2 bds",NaN,NaN,NaN,NaN
322,"106 Sanchez | 106 Sanchez St, San Francisco, CA",NaN,"$2,995+ Studio","$3,295+ 1 bd",NaN,NaN,NaN,NaN
323,"3715 California St APT 2, San Francisco, CA 94118",NaN,"$2,595/mo",1 bd,1 ba,469 sqft,- Apartment for rent,NaN
324,"516 Ellis | 516 Ellis St, San Francisco, CA",NaN,"$1,795+ Studio","$1,995+ 1 bd",NaN,NaN,NaN,NaN
325,"22 Vandewater St #106, San Francisco, CA 94133",NaN,"$2,295/mo",Studio,1 ba,470 sqft,- Apartment for rent,NaN
326,"2730 Sacramento St APT 13, San Francisco, CA 94115",NaN,"$2,295/mo",Studio,1 ba,250 sqft,- Apartment for rent,NaN
327,"685 Geary | 685 Geary St, San Francisco, CA",NaN,"$1,495+ Studio","$2,095 1 bd","$3,595 2 bds",NaN,NaN,NaN
328,"400 Duboce | 400 Duboce Ave, San Francisco, CA",NaN,"$3,095+ 1 bd","$3,695+ 2 bds",NaN,NaN,NaN,NaN
329,"1369 Hyde | 1369 Hyde St, San Francisco, CA",NaN,"$1,495+ Studio","$3,995 1 bd","$5,295 2 bds",NaN,NaN,NaN
330,"512 Arballo Dr, San Francisco, CA 94132",NaN,"$6,889/mo",3 bds,3 ba,"1,401 sqft",- Apartment for rent,NaN
331,"434 Leavenworth | 434 Leavenworth St, San Francisco, CA",NaN,"$1,595+ Studio",NaN,NaN,NaN,NaN,NaN
332,"691 O'Farrell | 691 Ofarrell St, San Francisco, CA",NaN,"$1,595+ Studio","$2,395 1 bd",NaN,NaN,NaN,NaN
333,"1424 Polk | 1424-1428 Polk St, San Francisco, CA",NaN,"$2,795+ 1 bd",NaN,NaN,NaN,NaN,NaN
334,"935 O'Farrell | 935 Ofarrell St, San Francisco, CA",NaN,"$1,595+ Studio",NaN,NaN,NaN,NaN,NaN
335,"1020 Post | 1020 Post St, San Francisco, CA",NaN,"$1,595+ Studio",NaN,NaN,NaN,NaN,NaN
336,"709 Geary | 709 Geary St, San Francisco, CA",NaN,"$1,795+ Studio",NaN,NaN,NaN,NaN,NaN
337,"50 Joice | 50 Joice St, San Francisco, CA",NaN,"$2,795+ 1 bd",NaN,NaN,NaN,NaN,NaN
338,"845 California | 845 California St, San Francisco, CA",NaN,"$2,695+ Studio","$3,095+ 1 bd","$3,995 2 bds",NaN,NaN,NaN
339,"2079 Market | 2075 Market St, San Francisco, CA",NaN,"$1,995+ Studio",NaN,NaN,NaN,NaN,NaN
340,"324 Larkin | 324 Larkin St, San Francisco, CA",NaN,"$2,395 Studio","$2,595+ 1 bd",NaN,NaN,NaN,NaN
341,"861 Post | 861 Post St, San Francisco, CA",NaN,"$1,795+ Studio",NaN,NaN,NaN,NaN,NaN
342,"Ashton San Francisco Apartments | 301 Executive Park Blvd, San Francisco, CA",NaN,"$3,033+ 1 bd","$3,980+ 2 bds",NaN,NaN,NaN,NaN
343,"33 Tehama | 33 Tehama St, San Francisco, CA",NaN,"$3,510+ 1 bd","$5,380+ 2 bds",NaN,NaN,NaN,NaN
344,"100 Broderick | 100 Broderick St, San Francisco, CA",NaN,"$2,595+ Studio","$3,195 1 bd","$4,095+ 2 bds",NaN,NaN,NaN
345,"915 Pierce | 915 Pierce St, San Francisco, CA",NaN,"$2,695+ Studio",NaN,NaN,NaN,NaN,NaN
346,"735 Ofarrell St #21, San Francisco, CA 94109",NaN,"$1,695/mo",Studio,1 ba,444 sqft,- Apartment for rent,NaN
347,"124 Mason | 124 Mason St, San Francisco, CA",NaN,"$1,795+ Studio",NaN,NaN,NaN,NaN,NaN
348,"Potrero 1010 | 1010 16th St, San Francisco, CA",NaN,"$2,680 Studio","$2,949+ 1 bd","$3,786+ 2 bds",NaN,NaN,NaN
349,"634 Powell | 634 Powell St, San Francisco, CA",NaN,"$2,345 Studio","$2,745 1 bd",NaN,NaN,NaN,NaN
350,"5519 Mission St #NJVM0FK5B, San Francisco, CA 94112",NaN,"$3,295+/mo",1 bd,1 ba,459 sqft,- Apartment for rent,NaN
351,"840 California | 840 California St, San Francisco, CA",NaN,"$1,895+ Studio","$2,595+ 1 bd","$4,795 3 bds",NaN,NaN,NaN
352,"601 O'Farrell | 601 Ofarrell St, San Francisco, CA",NaN,"$1,695+ Studio","$2,195+ 1 bd",NaN,NaN,NaN,NaN
353,"735 Taylor | 735 Taylor St, San Francisco, CA",NaN,"$1,595+ Studio",NaN,NaN,NaN,NaN,NaN
354,"Crystal Tower Apartments | 2140 Taylor St, San Francisco, CA",NaN,"$2,800+ 1 bd","$3,500+ 2 bds",NaN,NaN,NaN,NaN
355,"990 Geary | 990 Geary St, San Francisco, CA",NaN,"$2,145 Studio","$3,295+ 2 bds",NaN,NaN,NaN,NaN
356,"345 Fulton | 345 Fulton St, San Francisco, CA",NaN,"$2,295+ Studio","$2,595 1 bd",NaN,NaN,NaN,NaN
357,"2975 Van Ness | 2975 Van Ness Ave, San Francisco, CA",NaN,"$2,495+ Studio","$2,895+ 1 bd",NaN,NaN,NaN,NaN
358,"814 California | 814 California St, San Francisco, CA",NaN,"$2,095+ Studio","$2,795+ 1 bd",NaN,NaN,NaN,NaN
359,"3474 17th Street | 3474 17th St, San Francisco, CA",NaN,"$2,495 Studio","$3,095+ 1 bd",NaN,NaN,NaN,NaN
360,"3440 20th Street | 3440 20th St, San Francisco, CA",NaN,"$2,095 Studio","$2,895+ 1 bd",NaN,NaN,NaN,NaN
361,"1163 Pine | 1163 Pine St, San Francisco, CA",NaN,"$2,195+ Studio","$2,295+ 1 bd","$3,595 2 bds",NaN,NaN,NaN
362,"1128 Valencia St. | 1128 Valencia St, San Francisco, CA",NaN,"$3,595+ 3 bds",NaN,NaN,NaN,NaN,NaN
363,"2038 Divisadero St APT 101, San Francisco, CA 94115",NaN,"$3,695/mo",2 bds,1.5 ba,900 sqft,- Apartment for rent,NaN
364,"1 Polk St #910, San Francisco, CA 94102",NaN,"$2,835/mo",1 bd,1 ba,789 sqft,- Apartment for rent,NaN
365,"350 Union Street Apartments | 350 Union St, San Francisco, CA",NaN,"$1,699+ Studio","$2,799 1 bd",NaN,NaN,NaN,NaN
366,"2500 Van Ness Ave #4, San Francisco, CA 94109",NaN,"$3,295/mo",1 bd,1 ba,773 sqft,- Apartment for rent,NaN
367,"2171 Pacific Ave #204, San Francisco, CA 94115",NaN,"$3,395/mo",1 bd,1 ba,680 sqft,- Apartment for rent,NaN
368,"Venn On Market | 1844 Market St, San Francisco, CA",NaN,"$3,855+ 1 bd","$4,660+ 2 bds",NaN,NaN,NaN,NaN
369,"645 Stockton | 645 Stockton St, San Francisco, CA",NaN,"$2,795+ 1 bd","$3,295+ 2 bds",NaN,NaN,NaN,NaN
370,"701 Taylor | 701 Taylor St, San Francisco, CA",NaN,"$1,795+ Studio","$2,595+ 1 bd",NaN,NaN,NaN,NaN
371,"267-273 Green | 267 Green St, San Francisco, CA",NaN,"$3,600 Studio","$4,500+ 1 bd",NaN,NaN,NaN,NaN
372,"1401 Jones | 1401 Jones St, San Francisco, CA",NaN,"$2,295 Studio","$3,095+ 1 bd",NaN,NaN,NaN,NaN
373,"1355 Lombard | 1355 Lombard St, San Francisco, CA",NaN,"$3,600 Studio","$3,900+ 1 bd","$5,200+ 2 bds","$9,600 3 bds",NaN,NaN
374,"1290 20th Avenue | 1290 20th Ave, San Francisco, CA",NaN,"$3,095+ 1 bd",NaN,NaN,NaN,NaN,NaN
375,"2275 Broadway | 2275 Broadway St, San Francisco, CA",NaN,"$3,495+ 1 bd","$6,795+ 2 bds",NaN,NaN,NaN,NaN
376,"78 Buchanan | 78 Buchanan St, San Francisco, CA",NaN,"$3,395+ 1 bd","$4,495+ 2 bds",NaN,NaN,NaN,NaN
377,"845 Pine | 845 Pine St, San Francisco, CA",NaN,"$4,595+ 3 bds",NaN,NaN,NaN,NaN,NaN
378,"1753 Mason | 1753 Mason St, San Francisco, CA",NaN,"$2,995+ 1 bd",NaN,NaN,NaN,NaN,NaN
379,"Solaire | 299 Fremont St, San Francisco, CA",NaN,"$3,183+ Studio","$2,836+ 1 bd","$4,605+ 2 bds",NaN,NaN,NaN
380,"99 Lupine Ave #308, San Francisco, CA 94118",NaN,"$2,995/mo",1 bd,1 ba,600 sqft,- Apartment for rent,NaN
381,"2677 Larkin | 2677 Larkin St, San Francisco, CA",NaN,"$5,200+ 1 bd","$6,500+ 2 bds",NaN,NaN,NaN,NaN
382,"621 Stockton | 621 Stockton St, San Francisco, CA",NaN,"$2,095 Studio","$2,995+ 1 bd",NaN,NaN,NaN,NaN
383,"2115-2129 Hyde St, San Francisco, CA 94109",NaN,"$5,500/mo",2 bds,1 ba,931 sqft,- Apartment for rent,NaN
384,"3659 20th Street | 3659-3677 20th St, San Francisco, CA",NaN,"$2,895+ 1 bd",NaN,NaN,NaN,NaN,NaN
385,"2238 Hyde | 2238 Hyde St, San Francisco, CA",NaN,"$9,800+ 2 bds",NaN,NaN,NaN,NaN,NaN
386,"3809 20th Street | 3809 20th St, San Francisco, CA",NaN,"$3,495+ 1 bd",NaN,NaN,NaN,NaN,NaN
387,"2227 Taylor St APT 10, San Francisco, CA 94133",NaN,"$3,995/mo",2 bds,1 ba,677 sqft,- Apartment for rent,NaN
388,"1801 Leavenworth | 1801 Leavenworth St, San Francisco, CA",NaN,"$2,895+ 1 bd",NaN,NaN,NaN,NaN,NaN
389,"1230 Jackson St #5, San Francisco, CA 94109",NaN,"$3,895/mo",2 bds,2 ba,726 sqft,- Apartment for rent,NaN
390,"2600 Van Ness | 2600 Van Ness Ave, San Francisco, CA",NaN,"$2,495+ Studio","$3,395 1 bd",NaN,NaN,NaN,NaN
391,"2222 Leavenworth | 2222 Leavenworth St, San Francisco, CA",NaN,"$3,995+ 1 bd","$4,995+ 2 bds",NaN,NaN,NaN,NaN
392,"2619 Mission | 2619 Mission St, San Francisco, CA",NaN,"$1,995+ Studio",NaN,NaN,NaN,NaN,NaN
393,"1234 Jones | 1234 Jones St, San Francisco, CA",NaN,"$2,295+ Studio","$2,795 1 bd",NaN,NaN,NaN,NaN
394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400,"2115-2129 Hyde St, San Francisco, CA 94109",NaN,"$5,500/mo",2 bds,1 ba,931 sqft,- Apartment for rent,NaN
