,address,listingby,price,beds,baths,sqft,building_type,price/sqft
46,"1878 Market St #202, San Francisco, CA 94102",NaN,"$1,175/mo",Studio,1 ba,-- sqft,- Apartment for rent,NaN
47,"4670 25th St, San Francisco, CA 94114",NaN,"$4,995/mo",2 bds,2 ba,993 sqft,- Apartment for rent,NaN
48,"30 Corwin St APT 7, San Francisco, CA 94114",NaN,"$3,250/mo",2 bds,1 ba,-- sqft,- Apartment for rent,NaN
49,"88 King St, San Francisco, CA",NaN,"$4,250+ 2 bds",NaN,NaN,NaN,NaN,NaN
50,"1748 Hyde St, San Francisco, CA 94109",NaN,"$2,950/mo",3 bds,1 ba,-- sqft,- Apartment for rent,NaN
51,"3561 Pierce St, San Francisco, CA 94123",NaN,"$4,500/mo",2 bds,1 ba,"1,400 sqft",- Apartment for rent,NaN
52,"446 11th Ave APT 1, San Francisco, CA 94118",NaN,"$3,250/mo",2 bds,1.5 ba,"1,050 sqft",- Apartment for rent,NaN
53,"749 34th Ave, San Francisco, CA 94121",NaN,"$4,995/mo",4 bds,4 ba,-- sqft,- House for rent,NaN
54,"1012 Stanyan St, San Francisco, CA 94117",NaN,"$8,500/mo",3 bds,3 ba,"1,755 sqft",- Apartment for rent,NaN
55,"1525 18th St, San Francisco, CA 94107",NaN,"$6,500/mo",4 bds,2 ba,"1,435 sqft",- House for rent,NaN
56,"5940 California St APT 2, San Francisco, CA 94121",NaN,"$2,995/mo",1 bd,1 ba,975 sqft,- Apartment for rent,NaN
57,"520 Clayton St APT 3, San Francisco, CA 94117",NaN,"$2,700/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
58,"18 10th St, San Francisco, CA",NaN,"$4,400+ 1 bd",NaN,NaN,NaN,NaN,NaN
59,"4010 Mission St #1, San Francisco, CA 94112",NaN,"$2,395/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
60,"425 1st St, San Francisco, CA",NaN,"$4,100+ 1 bd","$5,200+ 2 bds",NaN,NaN,NaN,NaN
61,"2320 California St, San Francisco, CA 94115",NaN,"$4,175/mo",3 bds,1 ba,"1,000 sqft",- Apartment for rent,NaN
62,"Alchemy | 200 Buchanan St, San Francisco, CA",NaN,"$3,325+ 1 bd","$4,505+ 2 bds",NaN,NaN,NaN,NaN
63,"Dolores Coliving | 1813 15th St, San Francisco, CA",NaN,"$1,450+ Studio",NaN,NaN,NaN,NaN,NaN
