,address,listingby,price,beds,baths,sqft,building_type,price/sqft
667,"1300 22nd St APT 413, San Francisco, CA 94107","ARTEMIS REAL ESTATE, Rochelle Vandermerwe",$1.31M,2 bds,2 ba,952 sqft,- Sold,
668,"663 7th Ave, San Francisco, CA 94118","KELLER WILLIAMS SAN FRANCISCO, Jonathan E. Dearman",$1.50M,2 bds,2 ba,"1,355 sqft",- Sold,
669,"3960 18th St, San Francisco, CA 94114","COMPASS SF, Ric A. Rocchiccioli",$1.57M,3 bds,1 ba,"1,289 sqft",- Sold,
670,"555 Fulton St UNIT 433, San Francisco, CA 94102",NaN,$1.08M,2 bds,2 ba,887 sqft,- Sold,
671,"712 21st Ave, San Francisco, CA 94121","COMPASS, Patrick Lowell",$1.07M,2 bds,1 ba,849 sqft,- Sold,
672,"1834 Mason St #A, San Francisco, CA 94133","COMPASS, Victoria M. Stewart Davis",$2.00M,3 bds,3 ba,"2,179 sqft",- Sold,
673,"631 24th Ave, San Francisco, CA 94121","SOTHEBY'S INTERNATIONAL REALTY, Wendy M. Storch",$2.20M,3 bds,2 ba,"1,920 sqft",- Sold,
674,"1155 Leavenworth St APT 22, San Francisco, CA 94109","COMPASS, Dena Aslanian-Williams","$555,000",1 bd,1 ba,-- sqft,- Sold,
675,"250 King St UNIT 1606, San Francisco, CA 94107","VANGUARD PROPERTIES, Sean Jeremy Weinstock","$905,000",1 bd,1 ba,982 sqft,- Sold,
676,"181 Fremont St UNIT 65A, San Francisco, CA 94105","MARKER LUXURY PROPERTIES, Kyle Algeo","$24,000",2 bds,3 ba,"1,827 sqft",- Sold,
677,"401 Harrison St APT 12H, San Francisco, CA 94105","SKYBOX REALTY, Pablo M. Cela","$949,000",1 bd,1 ba,759 sqft,- Sold,
678,"345 Molimo Dr, San Francisco, CA 94127","CORCORAN GLOBAL LIVING, Randall N. Kostick",$1.82M,3 bds,2 ba,"1,800 sqft",- Sold,
679,"768 Junipero Serra Blvd, San Francisco, CA 94127","SOTHEBY'S INTERNATIONAL REALTY, Mary Lou Castellanos",$1.56M,2 bds,1 ba,"1,513 sqft",- Sold,
680,"181 Fremont St UNIT 65A, San Francisco, CA 94105","MARKER LUXURY PROPERTIES, Kyle Algeo","$24,000",2 bds,3 ba,"1,827 sqft",- Sold,
681,"162 Byxbee St, San Francisco, CA 94132","RE/MAX GOLD DALY CITY, Beatrice S. Kopilenko","$888,000",2 bds,1 ba,812 sqft,- Sold,
682,"250 King St UNIT 1606, San Francisco, CA 94107","VANGUARD PROPERTIES, Sean Jeremy Weinstock","$905,000",1 bd,1 ba,982 sqft,- Sold,
683,"768 Junipero Serra Blvd, San Francisco, CA 94127","SOTHEBY'S INTERNATIONAL REALTY, Mary Lou Castellanos",$1.56M,2 bds,1 ba,"1,513 sqft",- Sold,
684,"100 San Felipe Ave, San Francisco, CA 94127",NaN,$3.40M,4 bds,4 ba,"3,465 sqft",- Sold,
685,"1688 Pine St #E510, San Francisco, CA 94109","COMPASS, Deborah L. Nguyen","$775,000",1 bd,1 ba,638 sqft,- Sold,
686,"401 Harrison St APT 12H, San Francisco, CA 94105","SKYBOX REALTY, Pablo M. Cela","$949,000",1 bd,1 ba,759 sqft,- Sold,
687,"465 10th St APT 306, San Francisco, CA 94103","CORCORAN GLOBAL LIVING, Richard Hurwitz","$815,000",1 bd,2 ba,694 sqft,- Sold,
688,"1 Stanford Heights Ave, San Francisco, CA 94127","CORCORAN GLOBAL LIVING, John L. LePage",$1.60M,3 bds,2 ba,"1,411 sqft",- Sold,
689,"3461 17th St #A, San Francisco, CA 94110","COMPASS, Alexander F. Lurie","$800,000",2 bds,1 ba,757 sqft,- Sold,
690,"370 Monterey Blvd APT 207, San Francisco, CA 94131","COMPASS, Courtney Cohan","$700,000",1 bd,1 ba,757 sqft,- Sold,
691,"162 Beaver St, San Francisco, CA 94114","COMPASS, Dino Zuzic",$1.95M,2 bds,1 ba,"1,685 sqft",- Sold,
692,"734 14th St APT 3, San Francisco, CA 94114","INSPIRE REAL ESTATE, Dan Dodd",$1.05M,2 bds,1 ba,-- sqft,- Sold,
693,"615 Alvarado St, San Francisco, CA 94114","COMPASS, Stephanie A. Johnson",$3.25M,3 bds,3 ba,-- sqft,- Sold,
694,"2754 Octavia St, San Francisco, CA 94123","COMPASS, Nina Hatvany",$5.87M,5 bds,4 ba,"4,310 sqft",- Sold,
695,"247 Noe St, San Francisco, CA 94114","GENERATION REAL ESTATE, Daniel Yadegar",$1.52M,2 bds,2 ba,"1,394 sqft",- Sold,
696,"1746 Bay St, San Francisco, CA 94123","GOLDEN GATE SOTHEBY'S INTL, Paul Warrin",$2.65M,3 bds,2 ba,"2,135 sqft",- Sold,
697,"929 Bush St APT 3, San Francisco, CA 94109","CORCORAN GLOBAL LIVING, Lauren O'Brien","$599,000",Studio,1 ba,"5,235 sqft",- Sold,
698,"719 Moultrie St, San Francisco, CA 94110","COMPASS SF, Daniel A. Fernandez",$2.02M,3 bds,2 ba,-- sqft,- Sold,
699,"945 Steiner St, San Francisco, CA 94117","COMPASS SF, Mary Macpherson",$3.10M,4 bds,3 ba,"2,635 sqft",- Sold,
700,"2448 Lombard St #410, San Francisco, CA 94123","JS SULLIVAN SALES AND MARKETIN, Loring M. Aguillon-Racine",$1.66M,2 bds,2 ba,"1,141 sqft",- Sold,
701,"900 Bush St PH 5, San Francisco, CA 94109","COMPASS SF, Lyle Chip McAllister",$1.50M,2 bds,2 ba,"1,110 sqft",- Sold,
702,"221 Noe St APT 9, San Francisco, CA 94114",NaN,$1.18M,2 bds,1 ba,832 sqft,- Sold,
703,"355 1st St UNIT S710, San Francisco, CA 94105","BETTER HOMES AND GARDENS THRIV, Masanori C. Sugimoto","$775,000",1 bd,1 ba,675 sqft,- Sold,
704,"1246 Sanchez St, San Francisco, CA 94114","SOTHEBY'S INTERNATIONAL REALTY, Greg Fulford",$2.23M,3 bds,4 ba,"1,750 sqft",- Sold,
705,"60 Rausch St APT 203, San Francisco, CA 94103","VANGUARD PROPERTIES, Michael H. Shaw",$1.23M,2 bds,2 ba,"1,498 sqft",- Sold,
706,"330 Mission Bay Blvd N UNIT 506, San Francisco, CA 94158","KINOKO, Marcell P. Neri",$1.32M,2 bds,2 ba,"1,028 sqft",- Sold,
707,"1727 23rd Ave, San Francisco, CA 94122",NaN,$1.73M,-- bds,1 ba,"1,400 sqft",- Sold,
708,"1500 Francisco St APT 4, San Francisco, CA 94123","COMPASS, Todd D. Montgomery","$920,000",1 bd,1 ba,745 sqft,- Sold,
709,"803 Red Leaf Ct, San Francisco, CA 94134","COMPASS, Dorothy Figueroa Rahal","$800,000",3 bds,2 ba,"1,200 sqft",- Sold,
710,"1688 Pine St UNIT E805, San Francisco, CA 94109","KELLER WILLIAMS SAN FRANCISCO, Sherry Juneja","$965,000",1 bd,1 ba,738 sqft,- Sold,
711,"2135 California St #2, San Francisco, CA 94115","COMPASS SF, Helena Zaludova","$960,000",2 bds,1 ba,962 sqft,- Sold,
712,"1376 Natoma St, San Francisco, CA 94103","KELLER WILLIAMS SAN FRANCISCO, Anthony L. Koutsos","$780,000",2 bds,1 ba,838 sqft,- Sold,
713,"114 Noe St #124, San Francisco, CA 94114",NaN,$3.50M,-- bds,-- ba,-- sqft,- Sold,
714,"2546 Folsom St, San Francisco, CA 94110","ARTEMIS REAL ESTATE, Arrian C. Binnings",$1.80M,3 bds,3 ba,"1,980 sqft",- Sold,
715,"2400 Steiner St #4, San Francisco, CA 94115","COMPASS, Faye Dibachi",$2.05M,2 bds,2 ba,-- sqft,- Sold,
716,"2978 20th Ave, San Francisco, CA 94132","ASCEND REAL ESTATE, Daniel J. Risman-Jones",$2.90M,4 bds,4 ba,"3,023 sqft",- Sold,
717,"544 Clipper St, San Francisco, CA 94114","COMPASS SF, Pete Brannigan",$2.20M,3 bds,2 ba,"1,731 sqft",- Sold,
718,"1932 Fell St APT 4, San Francisco, CA 94117","COMPASS, Connie Chung","$400,000",Studio,1 ba,-- sqft,- Sold,
719,"77 Van Ness Ave APT 809, San Francisco, CA 94102","NOVA REAL ESTATE, Lorraine Meier","$690,000",1 bd,1 ba,555 sqft,- Sold,
720,"8400 Oceanview Ter APT 111, San Francisco, CA 94132","BERKSHIRE HATHAWAY-FRANCISCAN, Heather R. Stoltz","$600,000",1 bd,1 ba,669 sqft,- Sold,
721,"150 Sylvan Dr, San Francisco, CA 94132","COMPASS, Richerson P. Farnsworth",$1.60M,3 bds,2 ba,"1,432 sqft",- Sold,
722,"1440 Broadway APT 101, San Francisco, CA 94109","SOTHEBY'S INTERNATIONAL REALTY, Danielle L. Bales","$820,000",1 bd,1 ba,-- sqft,- Sold,
723,"255 Dalewood Way, San Francisco, CA 94127","RIMMA REALTY, Rimma G. Ludovico",$1.50M,4 bds,2 ba,"1,625 sqft",- Sold,
724,"250 King St UNIT 912, San Francisco, CA 94107","ENGEL & VOELKERS SAN FRANCISCO, Masoumeh M. Pahlbod","$780,000",1 bd,1 ba,888 sqft,- Sold,
725,"722 46th Ave, San Francisco, CA 94121","COMPASS, John M. Kirkpatrick",$2.10M,3 bds,2 ba,"2,186 sqft",- Sold,
726,"1239 Scott St, San Francisco, CA 94115",NaN,$--,5 bds,3 ba,"2,549 sqft",- Sold,
727,"667 Campbell Ave, San Francisco, CA 94134","SANFRANREALESTATE.COM, Timothy J. Cannon",$1.22M,3 bds,2 ba,"1,248 sqft",- Sold,
728,"351 Lakeshore Dr, San Francisco, CA 94132","VANGUARD PROPERTIES, Howard Reinstein",$1.88M,4 bds,4 ba,"1,863 sqft",- Sold,
729,"374 11th St UNIT 3, San Francisco, CA 94103","VANGUARD PROPERTIES, Kirk M. Dahle","$890,000",1 bd,2 ba,"1,137 sqft",- Sold,
730,"733 Front St UNIT 209, San Francisco, CA 94111","COMPASS SF, Dean R. Sereni","$900,000",1 bd,1 ba,-- sqft,- Sold,
731,"580 Missouri St #B, San Francisco, CA 94107","ASCEND REAL ESTATE, Daniel J. Risman-Jones",$1.90M,3 bds,4 ba,"1,660 sqft",- Sold,
732,"572 Valencia St, San Francisco, CA 94110","MARCUS & MILLICHAP, Joseph V. Levy",$2.96M,-- bds,-- ba,"5,990 sqft",- Sold,
733,"400 Beale St APT 1901, San Francisco, CA 94105","KW PENINSULA ESTATES, Michelle Ye",$1.33M,2 bds,2 ba,"1,223 sqft",- Sold,
734,"247 27th Ave #B, San Francisco, CA 94121","KINDRED SF HOMES, Jamie Comer",$1.51M,3 bds,2 ba,"1,297 sqft",- Sold,
735,"2999 California St #203, San Francisco, CA 94115","KELLER WILLIAMS SAN FRANCISCO, Jennifer Rosdail","$670,000",1 bd,1 ba,613 sqft,- Sold,
736,"488 Roosevelt Way, San Francisco, CA 94114","AETHOS REAL ESTATE, John L. Woodruff III",$1.63M,3 bds,2 ba,"1,530 sqft",- Sold,
737,"679 Athens St, San Francisco, CA 94112","COMPASS, Robert R. Wall, Jr.",$1.58M,4 bds,2 ba,"1,300 sqft",- Sold,
738,"1188 Green St #10, San Francisco, CA 94109","KELLER WILLIAMS SAN FRANCISCO, Miyuki Mia Takami","$505,000",Studio,1 ba,-- sqft,- Sold,
739,"215 Arguello Blvd, San Francisco, CA 94118","SOTHEBY'S INTERNATIONAL REALTY, Linda Bettencourt",$1.78M,3 bds,2 ba,"1,854 sqft",- Sold,
740,"1970 Sacramento St APT 101, San Francisco, CA 94109",NaN,$1.35M,2 bds,1 ba,"1,444 sqft",- Sold,
741,"69 Joost Ave, San Francisco, CA 94131","COMPASS, Ken L. Glidewell",$1.28M,2 bds,2 ba,"1,347 sqft",- Sold,
742,"3550 Market St APT 101, San Francisco, CA 94131","VANGUARD PROPERTIES, Andrea F. Swetland",$1.15M,2 bds,2 ba,"1,143 sqft",- Sold,
743,"25 Anzavista Ave, San Francisco, CA 94115","COMPASS SF, Ruth Krishnan",$2.31M,4 bds,3 ba,-- sqft,- Sold,
744,"1155 Broderick St, San Francisco, CA 94115","COMPASS, Shane R. Ray",$1.19M,1 bd,2 ba,900 sqft,- Sold,
745,"77 Dow Pl APT 710, San Francisco, CA 94107","CORCORAN GLOBAL LIVING, Jonathan F. Iddings","$888,000",1 bd,2 ba,"1,164 sqft",- Sold,
746,"1230 46th Ave, San Francisco, CA 94122",NaN,$1.60M,2 bds,1.5 ba,"1,312 sqft",- Sold,
747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
750,"1299 Bush St APT 701, San Francisco, CA 94109","COMPASS SF, Par Hanji","$675,000",1 bd,1 ba,624 sqft,- Sold,
751,"811 Carolina St, San Francisco, CA 94107","COMPASS SF, Helena Zaludova",$4.50M,5 bds,4 ba,"3,565 sqft",- Sold,
752,"337 Webster St, San Francisco, CA 94117","BAYVIEW REAL ESTATE & MORTGAGE, Steve Bach",$2.10M,-- bds,-- ba,"5,157 sqft",- Sold,
753,"151 Bartlett St #153, San Francisco, CA 94110","LUXE PLACES INTERNATIONAL REAL, Gene Gorokhovsky",$1.80M,4 bds,2 ba,"2,803 sqft",- Sold,
754,"1420 Guerrero St #1424, San Francisco, CA 94110","KW PENINSULA ESTATES, Karen Wong-Dunlap",$2.00M,5 bds,3 ba,"3,200 sqft",- Sold,
755,"5124 Diamond Heights Blvd #A, San Francisco, CA 94131","VANGUARD PROPERTIES, Frank A. Nolan",$1.32M,3 bds,2 ba,"1,482 sqft",- Sold,
756,"2835 Larkin St, San Francisco, CA 94109","COMPASS, Ted Bartlett",$4.11M,4 bds,4 ba,"3,500 sqft",- Sold,
757,"151 Alice B Toklas Pl UNIT 601, San Francisco, CA 94109","COMPASS, John M. Lee",$1.02M,1 bd,1 ba,933 sqft,- Sold,
758,"1 Burnett Ave N #9, San Francisco, CA 94131","CORE7 REAL ESTATE, Mark N. Shumway",$1.80M,3 bds,3 ba,"2,157 sqft",- Sold,
759,"2336 Bay St, San Francisco, CA 94123","SOTHEBY'S INTERNATIONAL REALTY, Linda Bettencourt",$2.90M,3 bds,2 ba,"1,748 sqft",- Sold,
760,"79 Bemis St, San Francisco, CA 94131","CORCORAN GLOBAL LIVING, Kira K. Mead",$2.40M,3 bds,2 ba,-- sqft,- Sold,
761,"334 Holladay Ave, San Francisco, CA 94110","COMPASS, Aaron M Bellings",$1.40M,3 bds,2 ba,"1,437 sqft",- Sold,
762,"47 Rebecca Ln, San Francisco, CA 94124",NaN,$--,2 bds,-- ba,"1,219 sqft",- Sold,
763,"25 Lucerne St APT 2, San Francisco, CA 94103",NaN,$1.30M,2 bds,3 ba,"1,839 sqft",- Sold,
764,"401 Harrison St APT 43B, San Francisco, CA 94105","COMPASS, Lynne D. Brown",$2.45M,2 bds,2 ba,"1,419 sqft",- Sold,
765,"1669 Alabama St, San Francisco, CA 94110","GENERATION REAL ESTATE, Lamisse Droubi",$3.40M,5 bds,4 ba,"3,040 sqft",- Sold,
766,"1483 26th Ave, San Francisco, CA 94122","SOTHEBY'S INTERNATIONAL REALTY, Grant Edward Beggs",$1.80M,2 bds,2 ba,"1,500 sqft",- Sold,
767,"1650 Broadway #304, San Francisco, CA 94109","VANGUARD PROPERTIES, Frank A. Nolan",$1.59M,2 bds,2 ba,"1,160 sqft",- Sold,
768,"151 Peralta Ave, San Francisco, CA 94110","COMPASS SF, Michael C. Murphy",$2.55M,4 bds,3 ba,"2,601 sqft",- Sold,
769,"318 Madrid St, San Francisco, CA 94112","CORCORAN GLOBAL LIVING, Donna Solen",$1.35M,3 bds,2 ba,"1,641 sqft",- Sold,
770,"228 Liberty St, San Francisco, CA 94114","COMPASS, John R. DiDomenico",$1.92M,3 bds,2 ba,"1,845 sqft",- Sold,
771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
786,"583 Donahue St, San Francisco, CA 94124","COMPASS SF, John W. Macon","$815,000",2 bds,2 ba,"1,373 sqft",- Sold,
787,"299 S Hill Blvd, San Francisco, CA 94112",NaN,$1.09M,2 bds,1 ba,"1,274 sqft",- Sold,
788,"4422 23rd St, San Francisco, CA 94114","COMPASS, Judson B. Gregory",$2.08M,4 bds,3 ba,"2,353 sqft",- Sold,
789,"2634 Octavia St APT 7, San Francisco, CA 94123","CORCORAN GLOBAL LIVING, Eileen M. Mougeot","$515,000",Studio,1 ba,485 sqft,- Sold,
790,"1940 Broadway #4, San Francisco, CA 94109","COLDWELL BANKER REALTY, Joel Goodrich",$6.30M,3 bds,4 ba,"3,456 sqft",- Sold,
791,"128 Borica St #130, San Francisco, CA 94127","KELLER WILLIAMS SF MONTEREY, Kim D. Nguyen",$2.70M,5 bds,4 ba,"3,236 sqft",- Sold,
792,"250 Los Palmos Dr, San Francisco, CA 94127","CORCORAN GLOBAL LIVING, Eileen Bermingham",$1.71M,3 bds,2 ba,-- sqft,- Sold,
793,"935 Filbert St APT 3, San Francisco, CA 94133","CORCORAN GLOBAL LIVING, Stefano Dezerega",$1.21M,1 bd,1 ba,"1,012 sqft",- Sold,
794,"210 Yerba Buena Ave, San Francisco, CA 94127","MORI, PAUL, Paul J. Mori",$1.80M,2 bds,2 ba,"1,550 sqft",- Sold,
795,"2590 Green St, San Francisco, CA 94123",NaN,$19.5M,5 bds,8 ba,"8,630 sqft",- Sold,
796,"580 Hayes St UNIT 201, San Francisco, CA 94102","CORCORAN GLOBAL LIVING, Richard Hurwitz",$1.84M,2 bds,2 ba,"1,248 sqft",- Sold,
797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
798,"36 Parnassus Ave, San Francisco, CA 94117","COMPASS, John R. DiDomenico",$2.1M,3 bds,3 ba,"2,228 sqft",- Sold,
799,"1 Burnett Ave N #9, San Francisco, CA 94131","CORE7 REAL ESTATE, Mark N. Shumway",$1.8M,3 bds,3 ba,"2,157 sqft",- Sold,
