,address,listingby,price,beds,baths,sqft,building_type,price/sqft
514,"1805 Fillmore St APT 304, San Francisco, CA 94115","VANGUARD PROPERTIES, Drew N. Wilkerson",$1.40M,2 bds,2 ba,"1,215 sqft",- Sold,
515,"563 38th Ave, San Francisco, CA 94121","BETTER HOMES AND GARDENS THRIV, Bair Malunov",$2.70M,4 bds,3 ba,"2,376 sqft",- Sold,
516,"50 Liberty St, San Francisco, CA 94110","ARG REAL ESTATE, Jason D. Gomez",$4.00M,4 bds,4 ba,-- sqft,- Sold,
517,"1575 26th Ave, San Francisco, CA 94122",NaN,$1.70M,2 bds,1 ba,"1,462 sqft",- Sold,
518,"2204 Green St, San Francisco, CA 94123","COMPASS, Nina Hatvany",$2.80M,3 bds,2 ba,"2,188 sqft",- Sold,
519,"3817 Folsom St, San Francisco, CA 94110","COLDWELL BANKER REALTY, Anthony T. Christen",$1.16M,3 bds,-- ba,-- sqft,- Sold,
520,"555 Golden Gate Ave #201, San Francisco, CA 94102","JS SULLIVAN SALES AND MARKETIN, Loring M. Aguillon-Racine","$775,000",1 bd,1 ba,753 sqft,- Sold,
521,"563 38th Ave, San Francisco, CA 94121","BETTER HOMES AND GARDENS THRIV, Bair Malunov",$2.70M,4 bds,3 ba,"2,376 sqft",- Sold,
522,"1688 Pine St #W906, San Francisco, CA 94109",NaN,"$800,000",1 bd,1 ba,689 sqft,- Sold,
523,"2204 Green St, San Francisco, CA 94123","COMPASS, Nina Hatvany",$2.80M,3 bds,2 ba,"2,188 sqft",- Sold,
524,"483 28th St #485, San Francisco, CA 94131","COMPASS SF, Brandon Tran",$2.04M,5 bds,3 ba,"2,428 sqft",- Sold,
525,"240 Lombard St APT 437, San Francisco, CA 94111","SOTHEBY'S INTERNATIONAL REALTY, Edward G. Bate","$525,000",1 bd,1 ba,566 sqft,- Sold,
526,"55 Casa Way, San Francisco, CA 94123","COMPASS, Jay H. Greenberg",$4.65M,10 bds,4 ba,"6,642 sqft",- Sold,
527,"114 Rousseau St, San Francisco, CA 94112","COMPASS, Renee M. Gonsalves",$1.73M,5 bds,4 ba,"2,156 sqft",- Sold,
528,"68 Richardson Ave, San Francisco, CA 94123",NaN,"$975,000",1 bd,1 ba,989 sqft,- Sold,
