,address,zip,building_type,price,beds,baths,sqft,agent,brokerage
574,2691 22nd Ave,94116,- Sold,2.36M,4 ,4 ,2230 , Leon De-Levi,COMPASS
575,338 Spear St UNIT 42E,94105,- Sold,3.00M,3 ,2 ,1686 , Nina Hatvany,COMPASS
576,821 Folsom St APT 107,94107,- Sold,980000,2 ,2 ,1102 , Teresa A. Callan,COMPASS
577,1789 Washington St #403,94109,- Sold,1.37M,2 ,2 ,1050 , Taña M. Recacho,COMPASS
578,730 22nd Ave,94121,- Sold,1.10M,2 ,1 ,1425 ,0,0
579,330 Mission Bay Blvd #116,94158,- Sold,1.60M,2 ,2 ,1569 , Robyn L. Kaufman,COMPASS
580,570 Moscow St,94112,- Sold,1.91M,4 ,5 ,2115 , Juanjuan Huang,COMPASS
581,2162 31st Ave,94116,- Sold,1.56M,2 ,1 ,1485 , Sonny Chan,SEQUOIA REAL ESTATE
582,221 Warren Dr,94131,- Sold,1.95M,3 ,3 ,1770 , John M. Kirkpatrick,COMPASS
583,3975 Cesar Chavez St #3977,94131,- Sold,3.45M,4 ,4 ,0 , Ruth Krishnan,COMPASS SF
584,45 Dolores Ter,94110,- Sold,1.36M,2 ,2 ,0 , Chris J. Panou,SOTHEBY'S INTERNATIONAL REALTY
585,250 King St UNIT 1504,94107,- Sold,630000,1 ,1 ,595 , Miyuki Mia Takami,KELLER WILLIAMS SAN FRANCISCO
586,4101 23rd St,94114,- Sold,1.62M,4 ,2 ,1525 , Steven M. Crane,MORLEY FREDERICKS REAL ESTATE
587,270 Bayview Cir,94124,- Sold,970000,2 ,2 ,1601 , Matthew Tatsumi Gomez,VANGUARD PROPERTIES
588,2339 Laguna St,94115,- Sold,4.45M,4 ,5 ,3405 , Joan F. Gordon,CITY REAL ESTATE
589,176 Merced Ave,94127,- Sold,2.32M,2 ,2 ,1674 , Andrew Herrera II,BERKSHIRE HATHAWAY-FRANCISCAN
590,1155 Filbert St APT 402,94109,- Sold,1.30M,2 ,2 ,850 , Bridget R. Cannata Denning,COMPASS
591,273 Chattanooga St,94114,- Sold,1.71M,3 ,2 ,1253 , Connie Chung,COMPASS
592,1905 Laguna St APT 305,94115,- Sold,1.08M,1 ,1 ,768 , Eduardo Aguire,CORCORAN GLOBAL LIVING
593,175 Bluxome St UNIT 211,94107,- Sold,925000,2 ,2 ,1076 ,0,0
594,401 Crescent Ct APT 4306,94134,- Sold,680000,2 ,2 ,935 , Brian Ngai,FAR EAST REALTY
595,43 Downey St,94117,- Sold,2.10M,3 ,2 ,1558 , John R. Solaegui,COMPASS SF
596,355 1st St UNIT 1208,94105,- Sold,738000,1 ,1 ,0 , Robyn L. Kaufman,COMPASS
597,336 Bradford St,94110,- Sold,1.10M,3 ,2 ,1450 , Thomas A. Baumgartner,REDFIN
598,539 42nd Ave,94121,- Sold,1.72M,4 ,1 ,2100 , Michael B. Soon,COMPASS
599,3627 21st St,94114,- Sold,4.50M,3 ,3 ,3003 , Mollie W. Poe,INDIGO REAL ESTATE
600,1155 Filbert St APT 402,94109,- Sold,1.30M,2 ,2 ,850 , Bridget R. Cannata Denning,COMPASS
601,3627 21st St,94114,- Sold,4.50M,3 ,3 ,3003 , Mollie W. Poe,INDIGO REAL ESTATE
602,2339 Laguna St,94115,- Sold,4.45M,4 ,5 ,3405 , Joan F. Gordon,CITY REAL ESTATE
603,330 Mission Bay Blvd #116,94158,- Sold,1.60M,2 ,2 ,1569 , Robyn L. Kaufman,COMPASS
604,338 Spear St UNIT 42E,94105,- Sold,3.00M,3 ,2 ,1686 , Nina Hatvany,COMPASS
605,712 10th Ave,94118,- Sold,2.00M,3 ,2 ,2612 , Robert N. Moffatt,SOTHEBY'S INTERNATIONAL REALTY
606,95 Mccoppin St APT E304,94103,- Sold,711500,1 ,1 ,760 , Anna G. Spathis,STERLING HOMES
607,1437 Cabrillo St #1439,94118,- Sold,1.86M,4 ,-- ,2550 , Annie M. Williams,SOTHEBY'S INTERNATIONAL REALTY
608,1650 Jackson St APT 602,94109,- Sold,1.30M,2 ,2 ,1103 , Marianne Bacigalupi Schier,COMPASS
609,1940 Anza St APT 5,94118,- Sold,987000,1 ,2 ,850 , Erica S Levin,COMPASS SF
610,2223 27th Ave,94116,- Sold,2.33M,3 ,2 ,2378 ,0,0
611,2224 Clement St #108,94121,- Sold,1.38M,3 ,2 ,1457 , Michael L. Annunziata,NORTH POINT REAL ESTATE
612,26 Presidio Ter,94118,- Sold,13.6M,6 ,9 ,9405 , Neal Allen Ward,COMPASS
613,80 Summit Way,94132,- Sold,1.29M,3 ,2 ,1547 , Mary Ann Montano,COLDWELL BANKER REALTY
614,0,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0,0,0
618,0,0,0,0,0,0,0,0,0
619,0,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0,0
625,0,0,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0,0,0
627,0,0,0,0,0,0,0,0,0
628,0,0,0,0,0,0,0,0,0
629,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0
631,3675 Clay St,94118,- Sold,5.35M,5 ,4 ,5003 , Linda F. Mayne,MAYNE AND COMPANY
632,749 Congo St,94131,- Sold,1.85M,2 ,2 ,1534 , Julie F. Rogers,COMPASS
633,360 Country Club Dr,94132,- Sold,1.78M,4 ,2 ,1903 , Vivian  Lee,CITY REAL ESTATE
634,173 Coleridge St,94110,- Sold,750000,2 ,2 ,831 , Faye Dibachi,COMPASS
635,0,0,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,0,0
637,126 Milton St,94112,- Sold,1.25M,2 ,2 ,1276 , Priscilla Bettencourt Rodrigues,ENGEL & VOELKERS SAN FRANCISCO
638,788 Minna St UNIT 505,94103,- Sold,665000,1 ,1 ,0 , Catherine Watson,VANGUARD PROPERTIES
639,2710 Scott St,94123,- Sold,5.35M,4 ,4 ,4235 , Marianne Bacigalupi Schier,COMPASS
640,173 Coleridge St,94110,- Sold,750000,2 ,2 ,831 , Faye Dibachi,COMPASS
641,900 Bush St APT 518,94109,- Sold,485000,1 ,1 ,643 , Samantha R. Hailer,CORCORAN GLOBAL LIVING
642,217 Montcalm St,94110,- Sold,2.15M,2 ,1 ,1643 , Mary E. Lace,SOTHEBY'S INTERNATIONAL REALTY
643,95 Mccoppin St APT E304,94103,- Sold,711500,1 ,1 ,760 , Anna G. Spathis,STERLING HOMES
644,2224 Clement St #108,94121,- Sold,1.38M,3 ,2 ,1457 , Michael L. Annunziata,NORTH POINT REAL ESTATE
645,360 Country Club Dr,94132,- Sold,1.78M,4 ,2 ,1903 , Vivian  Lee,CITY REAL ESTATE
646,1437 Cabrillo St #1439,94118,- Sold,1.86M,4 ,-- ,2550 , Annie M. Williams,SOTHEBY'S INTERNATIONAL REALTY
647,3675 Clay St,94118,- Sold,5.35M,5 ,4 ,5003 , Linda F. Mayne,MAYNE AND COMPANY
648,105 Prospect Ave #A,94110,- Sold,960000,1 ,1 ,753 , Denis Lancerin,VANGUARD PROPERTIES
649,1755 39th Ave,94122,- Sold,1.67M,3 ,2 ,800 ,0,0
650,59 Manor Dr,94127,- Sold,2.14M,4 ,3 ,3071 , Mikhail Kurgatnikov,NEW AGE REALTY & MORTGAGE
651,3615 Buchanan St APT 204,94123,- Sold,1.45M,2 ,2 ,1169 ,0,0
652,2057 15th St APT D,94114,- Sold,1.20M,3 ,1 ,1312 , Christian Buckley,VANGUARD PROPERTIES
653,2409 Scott St APT 2,94115,- Sold,1.84M,2 ,1 ,0 , Jason H. Hoffman,COMPASS
654,1515 15th St APT 401,94103,- Sold,292001,Studio,1 ,383 , Robert Belli,HOME QUEST REALTY
655,204 Dore St,94103,- Sold,1.75M,8 ,4 ,5118 , Carolyn A. Goeldner,VANGUARD PROPERTIES
656,12 Carson St,94114,- Sold,2.33M,3 ,2 ,1905 , Shane R. Ray,COMPASS
657,333 Beale St #C3C,94105,- Sold,1.12M,1 ,2 ,916 , BROKER,HELENA GENG
658,563 Lisbon St,94112,- Sold,1.38M,3 ,3 ,1623 , D. Paul Brown,COMPASS SF
659,465 10th St APT 306,94103,- Sold,815000,1 ,2 ,694 , Richard Hurwitz,CORCORAN GLOBAL LIVING
660,3461 17th St #A,94110,- Sold,800000,2 ,1 ,757 , Alexander F. Lurie,COMPASS
661,1688 Pine St #E510,94109,- Sold,775000,1 ,1 ,638 , Deborah L. Nguyen,COMPASS
662,1025 Lake St,94118,- Sold,630000,1 ,1 ,561 , Christina Ciccone,VANGUARD PROPERTIES
663,162 Byxbee St,94132,- Sold,888000,2 ,1 ,812 , Beatrice S. Kopilenko,RE/MAX GOLD DALY CITY
664,735 Geary St APT 201,94109,- Sold,639000,1 ,1 ,822 , Amanda M. Jones,COMPASS
665,100 San Felipe Ave,94127,- Sold,3.40M,4 ,4 ,3465 ,0,0
666,177 Baltimore Way,94112,- Sold,1.28M,3 ,2 ,1225 ,0,0
667,1300 22nd St APT 413,94107,- Sold,1.31M,2 ,2 ,952 , Rochelle Vandermerwe,ARTEMIS REAL ESTATE
668,663 7th Ave,94118,- Sold,1.50M,2 ,2 ,1355 , Jonathan E. Dearman,KELLER WILLIAMS SAN FRANCISCO
669,3960 18th St,94114,- Sold,1.57M,3 ,1 ,1289 , Ric A. Rocchiccioli,COMPASS SF
670,555 Fulton St UNIT 433,94102,- Sold,1.08M,2 ,2 ,887 ,0,0
671,712 21st Ave,94121,- Sold,1.07M,2 ,1 ,849 , Patrick Lowell,COMPASS
672,1834 Mason St #A,94133,- Sold,2.00M,3 ,3 ,2179 , Victoria M. Stewart Davis,COMPASS
673,631 24th Ave,94121,- Sold,2.20M,3 ,2 ,1920 , Wendy M. Storch,SOTHEBY'S INTERNATIONAL REALTY
674,1155 Leavenworth St APT 22,94109,- Sold,555000,1 ,1 ,0 , Dena Aslanian-Williams,COMPASS
675,250 King St UNIT 1606,94107,- Sold,905000,1 ,1 ,982 , Sean Jeremy Weinstock,VANGUARD PROPERTIES
676,181 Fremont St UNIT 65A,94105,- Sold,24000,2 ,3 ,1827 , Kyle Algeo,MARKER LUXURY PROPERTIES
677,401 Harrison St APT 12H,94105,- Sold,949000,1 ,1 ,759 , Pablo M. Cela,SKYBOX REALTY
678,345 Molimo Dr,94127,- Sold,1.82M,3 ,2 ,1800 , Randall N. Kostick,CORCORAN GLOBAL LIVING
679,768 Junipero Serra Blvd,94127,- Sold,1.56M,2 ,1 ,1513 , Mary Lou Castellanos,SOTHEBY'S INTERNATIONAL REALTY
680,181 Fremont St UNIT 65A,94105,- Sold,24000,2 ,3 ,1827 , Kyle Algeo,MARKER LUXURY PROPERTIES
681,162 Byxbee St,94132,- Sold,888000,2 ,1 ,812 , Beatrice S. Kopilenko,RE/MAX GOLD DALY CITY
682,250 King St UNIT 1606,94107,- Sold,905000,1 ,1 ,982 , Sean Jeremy Weinstock,VANGUARD PROPERTIES
683,768 Junipero Serra Blvd,94127,- Sold,1.56M,2 ,1 ,1513 , Mary Lou Castellanos,SOTHEBY'S INTERNATIONAL REALTY
684,100 San Felipe Ave,94127,- Sold,3.40M,4 ,4 ,3465 ,0,0
685,1688 Pine St #E510,94109,- Sold,775000,1 ,1 ,638 , Deborah L. Nguyen,COMPASS
686,401 Harrison St APT 12H,94105,- Sold,949000,1 ,1 ,759 , Pablo M. Cela,SKYBOX REALTY
687,465 10th St APT 306,94103,- Sold,815000,1 ,2 ,694 , Richard Hurwitz,CORCORAN GLOBAL LIVING
688,1 Stanford Heights Ave,94127,- Sold,1.60M,3 ,2 ,1411 , John L. LePage,CORCORAN GLOBAL LIVING
689,3461 17th St #A,94110,- Sold,800000,2 ,1 ,757 , Alexander F. Lurie,COMPASS
690,370 Monterey Blvd APT 207,94131,- Sold,700000,1 ,1 ,757 , Courtney Cohan,COMPASS
691,162 Beaver St,94114,- Sold,1.95M,2 ,1 ,1685 , Dino Zuzic,COMPASS
692,734 14th St APT 3,94114,- Sold,1.05M,2 ,1 ,0 , Dan Dodd,INSPIRE REAL ESTATE
693,615 Alvarado St,94114,- Sold,3.25M,3 ,3 ,0 , Stephanie A. Johnson,COMPASS
694,2754 Octavia St,94123,- Sold,5.87M,5 ,4 ,4310 , Nina Hatvany,COMPASS
695,247 Noe St,94114,- Sold,1.52M,2 ,2 ,1394 , Daniel Yadegar,GENERATION REAL ESTATE
696,1746 Bay St,94123,- Sold,2.65M,3 ,2 ,2135 , Paul Warrin,GOLDEN GATE SOTHEBY'S INTL
697,929 Bush St APT 3,94109,- Sold,599000,Studio,1 ,5235 , Lauren O'Brien,CORCORAN GLOBAL LIVING
698,719 Moultrie St,94110,- Sold,2.02M,3 ,2 ,0 , Daniel A. Fernandez,COMPASS SF
699,945 Steiner St,94117,- Sold,3.10M,4 ,3 ,2635 , Mary Macpherson,COMPASS SF
700,2448 Lombard St #410,94123,- Sold,1.66M,2 ,2 ,1141 , Loring M. Aguillon-Racine,JS SULLIVAN SALES AND MARKETIN
701,900 Bush St PH 5,94109,- Sold,1.50M,2 ,2 ,1110 , Lyle Chip McAllister,COMPASS SF
702,221 Noe St APT 9,94114,- Sold,1.18M,2 ,1 ,832 ,0,0
703,355 1st St UNIT S710,94105,- Sold,775000,1 ,1 ,675 , Masanori C. Sugimoto,BETTER HOMES AND GARDENS THRIV
704,1246 Sanchez St,94114,- Sold,2.23M,3 ,4 ,1750 , Greg Fulford,SOTHEBY'S INTERNATIONAL REALTY
705,60 Rausch St APT 203,94103,- Sold,1.23M,2 ,2 ,1498 , Michael H. Shaw,VANGUARD PROPERTIES
706,330 Mission Bay Blvd N UNIT 506,94158,- Sold,1.32M,2 ,2 ,1028 , Marcell P. Neri,KINOKO
707,1727 23rd Ave,94122,- Sold,1.73M,-- ,1 ,1400 ,0,0
708,1500 Francisco St APT 4,94123,- Sold,920000,1 ,1 ,745 , Todd D. Montgomery,COMPASS
709,803 Red Leaf Ct,94134,- Sold,800000,3 ,2 ,1200 , Dorothy Figueroa Rahal,COMPASS
710,1688 Pine St UNIT E805,94109,- Sold,965000,1 ,1 ,738 , Sherry Juneja,KELLER WILLIAMS SAN FRANCISCO
711,2135 California St #2,94115,- Sold,960000,2 ,1 ,962 , Helena Zaludova,COMPASS SF
712,1376 Natoma St,94103,- Sold,780000,2 ,1 ,838 , Anthony L. Koutsos,KELLER WILLIAMS SAN FRANCISCO
713,114 Noe St #124,94114,- Sold,3.50M,-- ,-- ,0 ,0,0
714,2546 Folsom St,94110,- Sold,1.80M,3 ,3 ,1980 , Arrian C. Binnings,ARTEMIS REAL ESTATE
715,2400 Steiner St #4,94115,- Sold,2.05M,2 ,2 ,0 , Faye Dibachi,COMPASS
716,2978 20th Ave,94132,- Sold,2.90M,4 ,4 ,3023 , Daniel J. Risman-Jones,ASCEND REAL ESTATE
717,544 Clipper St,94114,- Sold,2.20M,3 ,2 ,1731 , Pete Brannigan,COMPASS SF
718,1932 Fell St APT 4,94117,- Sold,400000,Studio,1 ,0 , Connie Chung,COMPASS
719,77 Van Ness Ave APT 809,94102,- Sold,690000,1 ,1 ,555 , Lorraine Meier,NOVA REAL ESTATE
720,8400 Oceanview Ter APT 111,94132,- Sold,600000,1 ,1 ,669 , Heather R. Stoltz,BERKSHIRE HATHAWAY-FRANCISCAN
721,150 Sylvan Dr,94132,- Sold,1.60M,3 ,2 ,1432 , Richerson P. Farnsworth,COMPASS
722,1440 Broadway APT 101,94109,- Sold,820000,1 ,1 ,0 , Danielle L. Bales,SOTHEBY'S INTERNATIONAL REALTY
723,255 Dalewood Way,94127,- Sold,1.50M,4 ,2 ,1625 , Rimma G. Ludovico,RIMMA REALTY
724,250 King St UNIT 912,94107,- Sold,780000,1 ,1 ,888 , Masoumeh M. Pahlbod,ENGEL & VOELKERS SAN FRANCISCO
725,722 46th Ave,94121,- Sold,2.10M,3 ,2 ,2186 , John M. Kirkpatrick,COMPASS
726,1239 Scott St,94115,- Sold,--,5 ,3 ,2549 ,0,0
727,667 Campbell Ave,94134,- Sold,1.22M,3 ,2 ,1248 , Timothy J. Cannon,SANFRANREALESTATE.COM
728,351 Lakeshore Dr,94132,- Sold,1.88M,4 ,4 ,1863 , Howard Reinstein,VANGUARD PROPERTIES
729,374 11th St UNIT 3,94103,- Sold,890000,1 ,2 ,1137 , Kirk M. Dahle,VANGUARD PROPERTIES
730,733 Front St UNIT 209,94111,- Sold,900000,1 ,1 ,0 , Dean R. Sereni,COMPASS SF
731,580 Missouri St #B,94107,- Sold,1.90M,3 ,4 ,1660 , Daniel J. Risman-Jones,ASCEND REAL ESTATE
732,572 Valencia St,94110,- Sold,2.96M,-- ,-- ,5990 , Joseph V. Levy,MARCUS & MILLICHAP
733,400 Beale St APT 1901,94105,- Sold,1.33M,2 ,2 ,1223 , Michelle Ye,KW PENINSULA ESTATES
734,247 27th Ave #B,94121,- Sold,1.51M,3 ,2 ,1297 , Jamie Comer,KINDRED SF HOMES
735,2999 California St #203,94115,- Sold,670000,1 ,1 ,613 , Jennifer Rosdail,KELLER WILLIAMS SAN FRANCISCO
736,488 Roosevelt Way,94114,- Sold,1.63M,3 ,2 ,1530 , John L. Woodruff III,AETHOS REAL ESTATE
737,679 Athens St,94112,- Sold,1.58M,4 ,2 ,1300 , Robert R. Wall,COMPASS
738,1188 Green St #10,94109,- Sold,505000,Studio,1 ,0 , Miyuki Mia Takami,KELLER WILLIAMS SAN FRANCISCO
739,215 Arguello Blvd,94118,- Sold,1.78M,3 ,2 ,1854 , Linda Bettencourt,SOTHEBY'S INTERNATIONAL REALTY
740,1970 Sacramento St APT 101,94109,- Sold,1.35M,2 ,1 ,1444 ,0,0
741,69 Joost Ave,94131,- Sold,1.28M,2 ,2 ,1347 , Ken L. Glidewell,COMPASS
742,3550 Market St APT 101,94131,- Sold,1.15M,2 ,2 ,1143 , Andrea F. Swetland,VANGUARD PROPERTIES
743,25 Anzavista Ave,94115,- Sold,2.31M,4 ,3 ,0 , Ruth Krishnan,COMPASS SF
744,1155 Broderick St,94115,- Sold,1.19M,1 ,2 ,900 , Shane R. Ray,COMPASS
745,77 Dow Pl APT 710,94107,- Sold,888000,1 ,2 ,1164 , Jonathan F. Iddings,CORCORAN GLOBAL LIVING
746,1230 46th Ave,94122,- Sold,1.60M,2 ,1.5 ,1312 ,0,0
747,0,0,0,0,0,0,0,0,0
748,0,0,0,0,0,0,0,0,0
749,0,0,0,0,0,0,0,0,0
750,1299 Bush St APT 701,94109,- Sold,675000,1 ,1 ,624 , Par Hanji,COMPASS SF
751,811 Carolina St,94107,- Sold,4.50M,5 ,4 ,3565 , Helena Zaludova,COMPASS SF
752,337 Webster St,94117,- Sold,2.10M,-- ,-- ,5157 , Steve Bach,BAYVIEW REAL ESTATE & MORTGAGE
753,151 Bartlett St #153,94110,- Sold,1.80M,4 ,2 ,2803 , Gene Gorokhovsky,LUXE PLACES INTERNATIONAL REAL
754,1420 Guerrero St #1424,94110,- Sold,2.00M,5 ,3 ,3200 , Karen Wong-Dunlap,KW PENINSULA ESTATES
755,5124 Diamond Heights Blvd #A,94131,- Sold,1.32M,3 ,2 ,1482 , Frank A. Nolan,VANGUARD PROPERTIES
756,2835 Larkin St,94109,- Sold,4.11M,4 ,4 ,3500 , Ted Bartlett,COMPASS
757,151 Alice B Toklas Pl UNIT 601,94109,- Sold,1.02M,1 ,1 ,933 , John M. Lee,COMPASS
758,1 Burnett Ave N #9,94131,- Sold,1.80M,3 ,3 ,2157 , Mark N. Shumway,CORE7 REAL ESTATE
759,2336 Bay St,94123,- Sold,2.90M,3 ,2 ,1748 , Linda Bettencourt,SOTHEBY'S INTERNATIONAL REALTY
760,79 Bemis St,94131,- Sold,2.40M,3 ,2 ,0 , Kira K. Mead,CORCORAN GLOBAL LIVING
761,334 Holladay Ave,94110,- Sold,1.40M,3 ,2 ,1437 , Aaron M Bellings,COMPASS
762,47 Rebecca Ln,94124,- Sold,--,2 ,-- ,1219 ,0,0
763,25 Lucerne St APT 2,94103,- Sold,1.30M,2 ,3 ,1839 ,0,0
764,401 Harrison St APT 43B,94105,- Sold,2.45M,2 ,2 ,1419 , Lynne D. Brown,COMPASS
765,1669 Alabama St,94110,- Sold,3.40M,5 ,4 ,3040 , Lamisse Droubi,GENERATION REAL ESTATE
766,1483 26th Ave,94122,- Sold,1.80M,2 ,2 ,1500 , Grant Edward Beggs,SOTHEBY'S INTERNATIONAL REALTY
767,1650 Broadway #304,94109,- Sold,1.59M,2 ,2 ,1160 , Frank A. Nolan,VANGUARD PROPERTIES
768,151 Peralta Ave,94110,- Sold,2.55M,4 ,3 ,2601 , Michael C. Murphy,COMPASS SF
769,318 Madrid St,94112,- Sold,1.35M,3 ,2 ,1641 , Donna Solen,CORCORAN GLOBAL LIVING
770,228 Liberty St,94114,- Sold,1.92M,3 ,2 ,1845 , John R. DiDomenico,COMPASS
771,0,0,0,0,0,0,0,0,0
772,0,0,0,0,0,0,0,0,0
773,0,0,0,0,0,0,0,0,0
774,0,0,0,0,0,0,0,0,0
775,0,0,0,0,0,0,0,0,0
776,0,0,0,0,0,0,0,0,0
777,0,0,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0,0,0
779,0,0,0,0,0,0,0,0,0
780,0,0,0,0,0,0,0,0,0
781,0,0,0,0,0,0,0,0,0
782,0,0,0,0,0,0,0,0,0
783,0,0,0,0,0,0,0,0,0
784,0,0,0,0,0,0,0,0,0
785,0,0,0,0,0,0,0,0,0
786,583 Donahue St,94124,- Sold,815000,2 ,2 ,1373 , John W. Macon,COMPASS SF
787,299 S Hill Blvd,94112,- Sold,1.09M,2 ,1 ,1274 ,0,0
788,4422 23rd St,94114,- Sold,2.08M,4 ,3 ,2353 , Judson B. Gregory,COMPASS
789,2634 Octavia St APT 7,94123,- Sold,515000,Studio,1 ,485 , Eileen M. Mougeot,CORCORAN GLOBAL LIVING
790,1940 Broadway #4,94109,- Sold,6.30M,3 ,4 ,3456 , Joel Goodrich,COLDWELL BANKER REALTY
791,128 Borica St #130,94127,- Sold,2.70M,5 ,4 ,3236 , Kim D. Nguyen,KELLER WILLIAMS SF MONTEREY
792,250 Los Palmos Dr,94127,- Sold,1.71M,3 ,2 ,0 , Eileen Bermingham,CORCORAN GLOBAL LIVING
793,935 Filbert St APT 3,94133,- Sold,1.21M,1 ,1 ,1012 , Stefano Dezerega,CORCORAN GLOBAL LIVING
794,210 Yerba Buena Ave,94127,- Sold,1.80M,2 ,2 ,1550 , PAUL,MORI
795,2590 Green St,94123,- Sold,19.5M,5 ,8 ,8630 ,0,0
796,580 Hayes St UNIT 201,94102,- Sold,1.84M,2 ,2 ,1248 , Richard Hurwitz,CORCORAN GLOBAL LIVING
797,0,0,0,0,0,0,0,0,0
798,36 Parnassus Ave,94117,- Sold,2.1M,3 ,3 ,2228 , John R. DiDomenico,COMPASS
799,1 Burnett Ave N #9,94131,- Sold,1.8M,3 ,3 ,2157 , Mark N. Shumway,CORE7 REAL ESTATE
